DATE,Location_Type,Event_Type,AWARDED,A.S. Advertisement Pass,Attendance_Ratio,Day_of_Week
2024-09-24,Mandeville Auditorium,Social,587.24,No,0.4598,Tuesday
2024-09-24,Mandeville Auditorium,Social,1752.15,No,0.5422,Tuesday
2024-09-25,Price Center,Social,590.47,No,0.796,Wednesday
2024-09-26,Revelle,Social,407.3,No,1.5468,Thursday
2024-09-26,Price Center,Workshop,123.6,No,1.1327,Thursday
2024-09-27,Mandeville Auditorium,Social,4500.0,No,0.7756,Friday
2024-09-27,Revelle,GBM,163.18,No,0.3677,Friday
2024-09-27,SunGod,Social,3499.9,No,0.4457,Friday
2024-09-29,Price Center,Social,3066.22,No,0.6262,Sunday
2024-09-30,Price Center,Social,4499.66,No,0.6089,Monday
2024-09-30,Price Center,GBM,78.63,No,2.7979,Monday
2024-10-01,Mandeville Auditorium,Social,599.84,No,0.5668,Tuesday
2024-10-01,Price Center,Speaker,595.0,No,4.5882000000000005,Tuesday
2024-10-01,Revelle,GBM,163.18,No,0.49029999999999996,Tuesday
2024-10-01,Pepper Canyon,Recruitment,600.0,No,2.5333,Tuesday
2024-10-01,Price Center,GBM,540.91,No,0.7395,Tuesday
2024-10-01,SunGod,Social,213.99,No,1.8225,Tuesday
2024-10-01,Price Center,GBM,129.92,No,7.312200000000001,Tuesday
2024-10-01,Mandeville Auditorium,Recruitment,1291.0,No,0.6429,Tuesday
2024-10-02,Warren,Workshop,595.0,No,1.4285999999999999,Wednesday
2024-10-02,Price Center,Social,41.42,No,5.7943,Wednesday
2024-10-02,Price Center,Social,216.58,No,2.1701,Wednesday
2024-10-02,Pepper Canyon,GBM,498.34,No,1.806,Wednesday
2024-10-02,Pepper Canyon,Social,206.88,No,1.8368000000000002,Wednesday
2024-10-02,Price Center,GBM,343.47,No,1.1064,Wednesday
2024-10-02,Warren,Workshop,227.08,No,0.2642,Wednesday
2024-10-02,Price Center,Social,322.98,No,0.030999999999999917,Wednesday
2024-10-02,Student Services Center,GBM,1845.76,No,0.9535,Wednesday
2024-10-03,Pepper Canyon,Recruitment,595.0,No,0.9748,Thursday
2024-10-03,Price Center,Speaker,582.57,No,1.0986,Thursday
2024-10-03,Warren,Workshop,91.74,No,2.8341000000000003,Thursday
2024-10-03,Warren,GBM,417.75,No,2.5613,Thursday
2024-10-03,Price Center,GBM,279.87,No,2.2153,Thursday
2024-10-04,Price Center,Social,319.21,No,5.0437,Friday
2024-10-04,Warren,Workshop,595.0,No,1.7311,Friday
2024-10-04,Mandeville Auditorium,GBM,120.0,No,10.083300000000001,Friday
2024-10-04,Pepper Canyon,Recruitment,600.0,No,0.3667,Friday
2024-10-04,Warren,Workshop,135.35,No,2.5119999999999996,Friday
2024-10-04,Price Center,Social,184.91,No,1.7306,Friday
2024-10-04,Warren,GBM,598.93,No,0.7513,Friday
2024-10-04,Price Center,GBM,100.0,No,2.7,Friday
2024-10-04,Pepper Canyon,Social,275.71,No,0.9793,Friday
2024-10-04,Price Center,GBM,600.0,No,1.25,Friday
2024-10-04,SunGod,Recruitment,591.33,No,1.9617,Friday
2024-10-04,Price Center,Social,80.0,No,1.75,Friday
2024-10-06,Mandeville Auditorium,Recruitment,296.31,No,1.0125,Sunday
2024-10-07,Pepper Canyon,GBM,328.64,No,1.7040000000000002,Monday
2024-10-07,Warren,Social,595.0,No,1.5293999999999999,Monday
2024-10-07,Mandeville Auditorium,Social,597.2,No,2.495,Monday
2024-10-08,Mandeville Auditorium,GBM,1925.0,No,1.3766,Tuesday
2024-10-08,Price Center,GBM,352.0,No,2.2443,Tuesday
2024-10-08,Price Center,GBM,350.0,No,1.3143,Tuesday
2024-10-08,Warren,Workshop,152.03,No,1.9733,Tuesday
2024-10-08,Price Center,Social,339.41,No,0.5303,Tuesday
2024-10-09,Price Center,GBM,338.07,No,1.6269,Wednesday
2024-10-09,Pepper Canyon,Social,595.0,No,1.8151000000000002,Wednesday
2024-10-09,Price Center,GBM,320.3,No,7.430499999999999,Wednesday
2024-10-09,Price Center,GBM,216.58,No,1.2005,Wednesday
2024-10-09,Price Center,GBM,115.21,No,3.1247,Wednesday
2024-10-09,Pepper Canyon,GBM,349.11,No,1.8904999999999998,Wednesday
2024-10-09,Price Center,GBM,170.0,No,0.8824,Wednesday
2024-10-09,Price Center,GBM,344.01,No,0.7558,Wednesday
2024-10-09,Price Center,Social,241.94,No,1.488,Wednesday
2024-10-09,Muir,Workshop,600.0,No,0.7167,Wednesday
2024-10-09,Warren,Workshop,227.79,No,0.4829,Wednesday
2024-10-10,Revelle,GBM,163.27,No,1.9599,Thursday
2024-10-10,Price Center,GBM,82.88,No,6.998099999999999,Thursday
2024-10-10,Pepper Canyon,Workshop,595.0,No,0.5546,Thursday
2024-10-10,Price Center,GBM,1814.99,No,0.8154,Thursday
2024-10-10,SunGod,Social,344.8,No,0.609,Thursday
2024-10-10,Price Center,GBM,350.0,No,0.02859999999999996,Thursday
2024-10-10,Price Center,Recruitment,296.31,No,0.03370000000000006,Thursday
2024-10-10,Warren,GBM,296.31,No,0.9112,Thursday
2024-10-10,Warren,GBM,199.34,No,0.4013,Thursday
2024-10-10,Pepper Canyon,Social,291.87,No,0.7538,Thursday
2024-10-10,Price Center,Workshop,123.6,No,0.9709,Thursday
2024-10-11,Pepper Canyon,Social,600.0,No,1.7167,Friday
2024-10-11,Pepper Canyon,GBM,600.0,No,0.016700000000000048,Friday
2024-10-11,Warren,Social,597.75,No,1.5391,Friday
2024-10-11,Warren,Workshop,313.99,No,0.5732999999999999,Friday
2024-10-11,Warren,Competition,302.78,No,0.46240000000000003,Friday
2024-10-11,Price Center,GBM,397.0,No,1.4358,Friday
2024-10-11,Price Center,GBM,174.65,No,2.6911,Friday
2024-10-11,Price Center,GBM,198.37,No,0.857,Friday
2024-10-11,Price Center,GBM,471.99,No,1.7161,Friday
2024-10-11,Warren,GBM,225.36,No,0.044399999999999995,Friday
2024-10-11,SunGod,Social,190.93,No,0.3665999999999999,Friday
2024-10-11,Price Center,Competition,275.0,No,0.10909999999999997,Friday
2024-10-11,Warren,Workshop,314.82,No,1.6517,Friday
2024-10-12,Price Center,Social,3831.0,No,1.0572,Saturday
2024-10-14,Warren,GBM,270.45,No,0.40670000000000006,Monday
2024-10-14,Price Center,Recruitment,543.06,No,1.0496,Monday
2024-10-14,Price Center,GBM,1780.71,No,0.4212,Monday
2024-10-14,Price Center,Social,484.57,No,1.135,Monday
2024-10-14,SunGod,Social,405.5,No,1.0604,Monday
2024-10-15,Price Center,GBM,266.03,No,0.03760000000000008,Tuesday
2024-10-15,Price Center,GBM,600.0,No,1.4667,Tuesday
2024-10-15,Price Center,GBM,595.0,No,2.3529,Tuesday
2024-10-15,Price Center,Social,349.43,No,1.0875,Tuesday
2024-10-15,Warren,Workshop,595.0,No,0.9916,Tuesday
2024-10-15,Revelle,Recruitment,307.09,No,3.1912000000000003,Tuesday
2024-10-15,Pepper Canyon,Workshop,211.08,No,0.9001,Tuesday
2024-10-15,Mandeville Auditorium,Religion,599.09,No,0.4173,Tuesday
2024-10-15,Price Center,GBM,351.0,No,1.396,Tuesday
2024-10-15,Mandeville Auditorium,GBM,120.0,No,12.75,Tuesday
2024-10-15,Price Center,Social,284.0,No,1.0915,Tuesday
2024-10-16,Revelle,GBM,599.99,No,0.35,Wednesday
2024-10-16,Pepper Canyon,GBM,349.11,No,1.3749,Wednesday
2024-10-16,Price Center,GBM,600.0,No,1.3333,Wednesday
2024-10-16,Warren,Workshop,344.8,No,0.8411,Wednesday
2024-10-16,Price Center,Speaker,86.25,Yes,3.7100999999999997,Wednesday
2024-10-16,Price Center,Social,187.38,Yes,1.3342,Wednesday
2024-10-16,Price Center,Workshop,303.5,No,0.9885,Wednesday
2024-10-16,Warren,Workshop,277.79,No,0.07200000000000006,Wednesday
2024-10-17,Revelle,GBM,163.18,Yes,0.9192,Thursday
2024-10-17,Price Center,GBM,348.01,No,0.02870000000000006,Thursday
2024-10-17,Price Center,Social,343.8,No,0.8144,Thursday
2024-10-17,Price Center,Social,338.07,No,0.6212,Thursday
2024-10-17,Price Center,Speaker,595.0,No,0.7059,Thursday
2024-10-17,Warren,Workshop,178.05,No,0.8425,Thursday
2024-10-17,Warren,Workshop,97.24,No,1.6454,Thursday
2024-10-17,Price Center,Speaker,172.4,No,0.9861,Thursday
2024-10-17,Pepper Canyon,GBM,191.79,No,1.5642,Thursday
2024-10-17,Mandeville Auditorium,GBM,560.3,No,0.6068,Thursday
2024-10-18,Pepper Canyon,GBM,156.24,No,1.6000999999999999,Friday
2024-10-18,Pepper Canyon,Social,521.49,No,0.2876000000000001,Friday
2024-10-18,Price Center,Social,350.0,No,0.6286,Friday
2024-10-18,Price Center,Social,147.5,No,2.1017,Friday
2024-10-19,Mandeville Auditorium,Social,2000.0,No,1.6,Saturday
2024-10-21,Pepper Canyon,Recruitment,316.0,No,0.6961999999999999,Monday
2024-10-21,Price Center,Social,597.2,No,2.428,Monday
2024-10-22,Price Center,Social,350.0,No,1.7143000000000002,Tuesday
2024-10-22,Price Center,Recruitment,543.06,No,0.44189999999999996,Tuesday
2024-10-22,Warren,Recruitment,453.12,No,2.6704,Tuesday
2024-10-22,Pepper Canyon,Recruitment,378.63,No,1.2149,Tuesday
2024-10-23,Price Center,GBM,214.42,No,1.9121,Wednesday
2024-10-23,Price Center,Social,41.42,Yes,4.1043,Wednesday
2024-10-23,Pepper Canyon,GBM,349.11,Yes,1.4036,Wednesday
2024-10-23,Price Center,Speaker,92.5,Yes,2.5946,Wednesday
2024-10-23,Price Center,Workshop,258.6,Yes,1.2761,Wednesday
2024-10-23,Price Center,GBM,298.14,No,0.6708000000000001,Wednesday
2024-10-24,Price Center,Social,350.0,No,1.0286,Thursday
2024-10-24,Revelle,GBM,163.18,Yes,0.8579,Thursday
2024-10-24,Mandeville Auditorium,GBM,350.0,Yes,0.7429,Thursday
2024-10-24,Warren,Workshop,231.27,Yes,0.4756,Thursday
2024-10-24,Pepper Canyon,Workshop,339.99,No,0.5,Thursday
2024-10-24,Price Center,Speaker,2280.71,No,0.10959999999999992,Thursday
2024-10-24,Pepper Canyon,GBM,191.79,No,1.9292,Thursday
2024-10-24,Price Center,Speaker,570.0,No,0.7368,Thursday
2024-10-24,Warren,Workshop,598.75,Yes,0.3340000000000001,Thursday
2024-10-25,Price Center,Social,147.5,Yes,0.7458,Friday
2024-10-27,Price Center,Recruitment,2899.27,Yes,0.9071,Sunday
2024-10-27,Price Center,Social,2409.95,No,2.083,Sunday
2024-10-28,Warren,Speaker,344.8,Yes,0.7831,Monday
2024-10-28,Pepper Canyon,Social,192.46,No,1.0911,Monday
2024-10-28,Warren,Social,42.89,No,4.4299,Monday
