A.S. Advertisement Pass,Location_Type,VENUE,AWARDED,Attendance_Ratio,DATE,Event_Type,Day_of_Week
No,Mandeville Auditorium,Student Center Courtyard,587.24,0.4598,2024-09-24,Social,Tuesday
No,Mandeville Auditorium,Multipurpose Room,1752.15,0.5422,2024-09-24,Social,Tuesday
No,Pepper Canyon,Epstein Family Amphitheater,7931.74,0.0,2024-09-24,Social,Tuesday
No,Price Center,Bear Room/Red Shoe Room,600.0,0.0,2024-09-24,Social,Tuesday
No,Price Center,Green Table Room (Price Center),296.31,0.0,2024-09-25,GBM,Wednesday
No,Price Center,ERC Room,316.7,0.0,2024-09-25,Social,Wednesday
No,Price Center,"ERC Room, Marshall College Room",590.47,0.796,2024-09-25,Social,Wednesday
-,Mandeville Auditorium,Huerta-Vera Cruz Room,539.02,0.0,2024-09-26,Social,Thursday
-,Revelle,Stage Room,407.3,1.5468,2024-09-26,Social,Thursday
-,Mandeville Auditorium,Town Square and Matthew’s Quad,4499.16,0.0,2024-09-26,Social,Thursday
-,Price Center,Price Center - Green Table Room,123.6,1.1327,2024-09-26,Workshop,Thursday
-,Library Walk,Outdoor Tabling Library Walk 1974,91.91,0.0,2024-09-26,Recruitment,Thursday
-,Mandeville Auditorium,Mandeville Auditorium,4500.0,0.7756,2024-09-27,Social,Friday
-,Revelle,NSB Auditorium,163.18,0.3677,2024-09-27,GBM,Friday
-,SunGod,Sun God Lawn,3499.9,0.4457,2024-09-27,Social,Friday
-,Library Walk,Outdoor Tabling Library Walk 1976,104.9,0.0,2024-09-27,Recruitment,Friday
-,SunGod,Sun God Lawn,107.0,0.0,2024-09-28,Social,Saturday
-,Price Center,Price Center East Ballroom,3066.22,0.6262,2024-09-29,Social,Sunday
-,Price Center,PC West Ballroom,4499.66,0.6089,2024-09-30,Social,Monday
-,Price Center,Forum,78.63,2.7979,2024-09-30,GBM,Monday
-,Pepper Canyon,Cross Cultural Center - Communidad,433.16,0.0,2024-09-30,GBM,Monday
-,Mandeville Auditorium,Huerta-Vera Cruz Room,599.84,0.5668,2024-10-01,Social,Tuesday
-,Price Center,Price Center - Forum,595.0,4.5882000000000005,2024-10-01,Speaker,Tuesday
-,Revelle,NSB Auditorium,163.18,0.49029999999999996,2024-10-01,GBM,Tuesday
-,Pepper Canyon,ASML,600.0,2.5333,2024-10-01,Recruitment,Tuesday
-,Price Center,Bear Room and Red Shoe Room,540.91,0.7395,2024-10-01,GBM,Tuesday
No,SunGod,SunGod Lawn,213.99,1.8225,2024-10-01,Social,Tuesday
-,Price Center,Marshall College Room,129.92,7.312200000000001,2024-10-01,GBM,Tuesday
-,Scripps,Vaughan Hall,132.85,0.0,2024-10-01,GBM,Tuesday
-,Mandeville Auditorium,Multipurpose Room,1291.0,0.6429,2024-10-01,Recruitment,Tuesday
-,Warren,Qualcomm Room,595.0,1.4285999999999999,2024-10-02,Workshop,Wednesday
-,Price Center,Price Center ERC Room,41.42,5.7943,2024-10-02,Social,Wednesday
-,Price Center,Red Shoe Room,216.58,2.1701,2024-10-02,Social,Wednesday
-,Pepper Canyon,EnVision,498.34,1.806,2024-10-02,GBM,Wednesday
-,Pepper Canyon,SME 248,206.88,1.8368000000000002,2024-10-02,Social,Wednesday
-,Price Center,Price Center Green Table Room,343.47,1.1064,2024-10-02,GBM,Wednesday
-,Warren,Henry Booker Room,227.08,0.2642,2024-10-02,Workshop,Wednesday
-,Price Center,Bear room at price center,322.98,0.030999999999999917,2024-10-02,Social,Wednesday
-,Student Services Center,Student Services Center - Conference Room 400,92.13,0.0,2024-10-02,Speaker,Wednesday
-,Student Services Center,Student Services Center Multipurpose Room,1845.76,0.9535,2024-10-02,GBM,Wednesday
-,Warren,Computer Science & Engineering Building - CSE1202,600.0,0.0,2024-10-03,GBM,Thursday
-,Pepper Canyon,SME ASML Room,595.0,0.9748,2024-10-03,Recruitment,Thursday
-,Price Center,Price Center Forum,582.57,1.0986,2024-10-03,Speaker,Thursday
-,Price Center,Price Center - Bear Room,59.7,0.0,2024-10-03,GBM,Thursday
No,Warren,CSE Basement B225,91.74,2.8341000000000003,2024-10-03,Workshop,Thursday
-,Pepper Canyon,raza Centro Space PPCH #104,191.79,0.0,2024-10-03,GBM,Thursday
-,Warren,Fung Auditorium - PFBH,417.75,2.5613,2024-10-03,GBM,Thursday
No,Price Center,Governance Chambers,279.87,2.2153,2024-10-03,GBM,Thursday
-,Price Center,Price Center - Red Shoe Room,275.0,0.0,2024-10-03,Competition,Thursday
-,Price Center,"Price Center, Red Shoe Room + Bear Room",319.21,5.0437,2024-10-04,Social,Friday
-,Warren,Qualcomm Room,595.0,1.7311,2024-10-04,Workshop,Friday
-,Mandeville Auditorium,Multi Purpose Room,120.0,10.083300000000001,2024-10-04,GBM,Friday
-,Pepper Canyon,SME 248 ASML Conference Center,600.0,0.3667,2024-10-04,Recruitment,Friday
No,Mandeville Auditorium,Matthews Quad,1487.5,0.0,2024-10-04,Social,Friday
-,Warren,CSE B225,135.35,2.5119999999999996,2024-10-04,Workshop,Friday
-,Price Center,Price center Bear Room,184.91,1.7306,2024-10-04,Social,Friday
-,Warren,Fung Auditorium,598.93,0.7513,2024-10-04,GBM,Friday
-,Price Center,Green Table Room,100.0,2.7,2024-10-04,GBM,Friday
-,Pepper Canyon,SME 347,275.71,0.9793,2024-10-04,Social,Friday
-,Price Center,Price Center - The Forum,600.0,1.25,2024-10-04,GBM,Friday
-,Revelle,Natural Science Building (NSB) 3211,107.64,0.0,2024-10-04,GBM,Friday
-,SunGod,Sun God Lawn,591.33,1.9617,2024-10-04,Recruitment,Friday
-,Price Center,Price Center Red Shoe Room,80.0,1.75,2024-10-04,Social,Friday
-,Mandeville Auditorium,Student Center - Dolores Huerta - Philip Vera Cruz Room,296.31,1.0125,2024-10-06,Recruitment,Sunday
-,Pepper Canyon,SME 248,328.64,1.7040000000000002,2024-10-07,GBM,Monday
-,Warren,Henry Booker Room,595.0,1.5293999999999999,2024-10-07,Social,Monday
-,Mandeville Auditorium,Stage Room & Patio,597.2,2.495,2024-10-07,Social,Monday
No,Mandeville Auditorium,Student Services Center - Multi Purpose Room,1925.0,1.3766,2024-10-08,GBM,Tuesday
