DATE,Location_Type,Event_Type,AWARDED,A.S. Advertisement Pass,Attendance_Ratio,Day_of_Week,log_Attendance_Ratio,log_AWARDED,Month
2024-09-24,Mandeville Auditorium,Social,587.24,No,0.4598,Tuesday,0.37829944003539484,6.377135027887967,2024-09
2024-09-24,Mandeville Auditorium,Social,1752.15,No,0.5422,Tuesday,0.4332099684167232,7.469169448858939,2024-09
2024-09-25,Price Center,Social,590.47,No,0.796,Wednesday,0.5855619698800079,6.382610963619958,2024-09
2024-09-26,Revelle,Social,407.3,No,1.5468,Thursday,0.9348376691607332,6.01200219832553,2024-09
2024-09-26,Price Center,Workshop,123.6,No,1.1327,Thursday,0.7573887826214101,4.825108606353353,2024-09
2024-09-27,Mandeville Auditorium,Social,4500.0,No,0.7756,Friday,0.5741383939777431,8.412054873292933,2024-09
2024-09-27,Revelle,GBM,163.18,No,0.3677,Friday,0.31313049690536837,5.10096338692012,2024-09
2024-09-27,SunGod,Social,3499.9,No,0.4457,Friday,0.3685936333322597,8.160775357279089,2024-09
2024-09-29,Price Center,Social,3066.22,No,0.6262,Sunday,0.4862460047916001,8.028526892875233,2024-09
2024-09-30,Price Center,Social,4499.66,No,0.6089,Monday,0.47555071567485213,8.411979331670574,2024-09
2024-09-30,Price Center,GBM,78.63,No,2.7979,Monday,1.3344482823962802,4.377390906269353,2024-09
2024-10-01,Mandeville Auditorium,Social,599.84,No,0.5668,Tuesday,0.4490353228095392,6.398328676129854,2024-10
2024-10-01,Price Center,Speaker,595.0,No,4.5882000000000005,Tuesday,1.7206572317349065,6.39024066706535,2024-10
2024-10-01,Revelle,GBM,163.18,No,0.4902999999999999,Tuesday,0.39897744197261,5.10096338692012,2024-10
2024-10-01,Pepper Canyon,Recruitment,600.0,No,2.5333,Tuesday,1.2622322784431474,6.398594934535208,2024-10
2024-10-01,Price Center,GBM,540.91,No,0.7395,Tuesday,0.5535977156098597,6.2950999359910265,2024-10
2024-10-01,SunGod,Social,213.99,No,1.8225,Tuesday,1.03762301704168,5.370591515418057,2024-10
2024-10-01,Price Center,GBM,129.92,No,7.312200000000001,Tuesday,2.117724315105141,4.87458644963298,2024-10
2024-10-01,Mandeville Auditorium,Recruitment,1291.0,No,0.6429,Tuesday,0.49646297293015407,7.163946684342547,2024-10
2024-10-02,Warren,Workshop,595.0,No,1.4286,Wednesday,0.8873149596375816,6.39024066706535,2024-10
2024-10-02,Price Center,Social,41.42,No,5.7943,Wednesday,1.9160840253722902,3.7476199491365363,2024-10
2024-10-02,Price Center,Social,216.58,No,2.1701,Wednesday,1.1537631331329579,5.382566598992937,2024-10
2024-10-02,Pepper Canyon,GBM,498.34,No,1.806,Wednesday,1.0317599816802692,6.213287226454776,2024-10
2024-10-02,Pepper Canyon,Social,206.88,No,1.8368,Wednesday,1.0426766563378065,5.336960990140241,2024-10
2024-10-02,Price Center,GBM,343.47,No,1.1064,Wednesday,0.7449803291999626,5.8420070039332,2024-10
2024-10-02,Warren,Workshop,227.08,No,0.2642,Wednesday,0.23443951105606128,5.429696444604416,2024-10
2024-10-02,Price Center,Social,322.98,No,0.0309999999999999,Wednesday,0.030529205034822777,5.780681785491992,2024-10
2024-10-02,Student Services Center,GBM,1845.76,No,0.9535,Wednesday,0.6696226355129883,7.521188031312286,2024-10
2024-10-03,Pepper Canyon,Recruitment,595.0,No,0.9748,Thursday,0.6804671274025708,6.39024066706535,2024-10
2024-10-03,Price Center,Speaker,582.57,No,1.0986,Thursday,0.7412704557416736,6.369164410255378,2024-10
2024-10-03,Warren,Workshop,91.74,No,2.8341000000000003,Thursday,1.3439347267037611,4.529799878963315,2024-10
2024-10-03,Warren,GBM,417.75,No,2.5613,Thursday,1.270125646745461,6.037274083139276,2024-10
2024-10-03,Price Center,GBM,279.87,No,2.2153,Thursday,1.1679206659334338,5.637891928833916,2024-10
2024-10-04,Price Center,Social,319.21,No,5.0437,Friday,1.7990164071759387,5.768977030555902,2024-10
2024-10-04,Warren,Workshop,595.0,No,1.7311,Friday,1.004704458445143,6.39024066706535,2024-10
2024-10-04,Mandeville Auditorium,GBM,120.0,No,10.0833,Friday,2.4054394709104336,4.795790545596741,2024-10
2024-10-04,Pepper Canyon,Recruitment,600.0,No,0.3667,Friday,0.31239907498861774,6.398594934535208,2024-10
2024-10-04,Warren,Workshop,135.35,No,2.512,Friday,1.2561856757728702,4.9152251092915975,2024-10
2024-10-04,Price Center,Social,184.91,No,1.7306,Friday,1.004521365268514,5.225262685642126,2024-10
2024-10-04,Warren,GBM,598.93,No,0.7513,Friday,0.5603583692964816,6.396812981743395,2024-10
2024-10-04,Price Center,GBM,100.0,No,2.7,Friday,1.308332819650179,4.61512051684126,2024-10
2024-10-04,Pepper Canyon,Social,275.71,No,0.9793,Friday,0.6827432468445523,5.622970026363907,2024-10
2024-10-04,Price Center,GBM,600.0,No,1.25,Friday,0.8109302162163288,6.398594934535208,2024-10
2024-10-04,SunGod,Recruitment,591.33,No,1.9617,Friday,1.085763427799198,6.384063912008693,2024-10
2024-10-04,Price Center,Social,80.0,No,1.75,Friday,1.0116009116784799,4.394449154672439,2024-10
2024-10-06,Mandeville Auditorium,Recruitment,296.31,No,1.0125,Sunday,0.6993777303105814,5.694775365496226,2024-10
2024-10-07,Pepper Canyon,GBM,328.64,No,1.7040000000000002,Monday,0.9947321581807177,5.798001149895183,2024-10
2024-10-07,Warren,Social,595.0,No,1.5294,Monday,0.927982120463739,6.39024066706535,2024-10
2024-10-07,Mandeville Auditorium,Social,597.2,No,2.495,Monday,1.2513333756857736,6.393925146195848,2024-10
2024-10-08,Mandeville Auditorium,GBM,1925.0,No,1.3766,Tuesday,0.8656708948737889,7.563200592358071,2024-10
2024-10-08,Price Center,GBM,352.0,No,2.2443,Tuesday,1.1768996103990024,5.8664680569332965,2024-10
2024-10-08,Price Center,GBM,350.0,No,1.3143,Tuesday,0.8391072660034794,5.860786223465865,2024-10
2024-10-08,Warren,Workshop,152.03,No,1.9733,Tuesday,1.0896724470986354,5.0306339806029445,2024-10
2024-10-08,Price Center,Social,339.41,No,0.5303,Tuesday,0.4254637946148535,5.830150773471008,2024-10
2024-10-09,Price Center,GBM,338.07,No,1.6269,Wednesday,0.965804443743616,5.826206575739908,2024-10
