NAME_OF_EVENT,DATE,VENUE,AWARDED,A.S. Advertisement Pass,Estimated Attendance,Form Attendance,PEEF Attendance,Attendance Miss,PEEF Miss,Status,Notes,Event_Type,Location_Type
Week 0 Meet & Greet,9/24/2024,Student Center Courtyard,$587.24 ,No,70,27,85,54.02%,-44.74%,Pending Warning,,Social,Mandeville Auditorium
Welcome Back Dinner,9/24/2024,Multipurpose Room,"$1,752.15 ",No,152,95,183,45.78%,-4.44%,Pending Warning,,Social,Mandeville Auditorium
Chinese Union Fall 2024 Opening Ceremony,9/24/2024,Epstein Family Amphitheater,"$7,931.74 ",No,800,,800,100.00%,-0.86%,Pending Warning,,Social,Pepper Canyon
Welcome Week Event,9/24/2024,Bear Room/Red Shoe Room,$600.00 ,No,80,,0,100.00%,100.00%,Pending Warning,,Social,Price Center
First GBM,9/25/2024,Green Table Room (Price Center),$296.31 ,No,30,,70,100.00%,-136.24%,Pending Warning,,GBM,Price Center
RGC Welcome Week Event 3,9/25/2024,ERC Room,$316.70 ,No,60,,0,100.00%,100.00%,Pending Warning,,Social,Price Center
Welcome Back Lunch,9/25/2024,"ERC Room, Marshall College Room",$590.47 ,No,60,47,62,20.40%,-5.00%,Warned,,Social,Price Center
RGC Welcome Week Event 1,9/26/2024,Huerta-Vera Cruz Room,$539.02 ,-,80,,0,100.00%,100.00%,Good Standing,,Social,Mandeville Auditorium
Week 0 Game Night,9/26/2024,Stage Room,$407.30 ,-,60,63,130,-54.68%,-219.18%,Good Standing,,Social,Revelle
SFL Summerfest,9/26/2024,Town Square and Matthew’s Quad,"$4,499.16 ",-,1200,,0,100.00%,100.00%,Good Standing,,Social,Mandeville Auditorium
UHF/VHF Radio Wave Propagation Workshop,9/26/2024,Price Center - Green Table Room,$123.60 ,-,26,14,12,-13.27%,2.91%,Good Standing,,Workshop,Price Center
Sun God Soccer Tabling,9/26/2024,Outdoor Tabling Library Walk 1974,$91.91 ,-,60,,90,100.00%,-879.22%,Good Standing,,Recruitment,Library Walk
Welcome Ceremony,9/27/2024,Mandeville Auditorium,"$4,500.00 ",-,800,349,1500,22.44%,-233.33%,Good Standing,,Social,Mandeville Auditorium
Week 0 GBM,9/27/2024,NSB Auditorium,$163.18 ,-,60,6,0,63.23%,100.00%,Good Standing,,GBM,Revelle
