NAME_OF_EVENT,DATE,VENUE,AWARDED,A.S. Advertisement Pass,Form Attendance,Attendance Miss,Event_Type,Location_Type
Pani Puri Event,1/3/2025,Red Shoe Room,$500.00 ,Not Found,,100.00%,Religion,Price Center
Armenian Christmas,1/6/2025,Price Center - Red Shoe Room,$350.00 ,Not Found,50,-42.86%,Religion,Price Center
GBM 1: Winter,1/6/2025,PC Ballroom East,"$1,483.03 ",Not Found,,100.00%,GBM,Price Center
Board Game and Boba Winter Game Night # 1,1/6/2025,Price Center Ballroom B,$641.03 ,No,131,-104.36%,Social,Price Center
MYSA GBM 2 Winter,1/7/2025,Student Center - Dolores Huerta - Philip Vera Cruz Room,$400.00 ,Not Found,28,30.00%,GBM,Mandeville Auditorium
Winter Engineers on the Green,1/7/2025,"Warren Mall [1, 2, 3]","$4,000.00 ",No,228,43.00%,Social,Warren
PSA Trivia Night,1/7/2025,Eleanor Roosevelt College Room,$37.66 ,Yes,20,-431.07%,Competition,Price Center
BMES Winter GBM #1,1/8/2025,Price Center Theater,$182.40 ,Yes,3,83.55%,GBM,Price Center
PiB Winter GBM,1/8/2025,EnVision,$300.00 ,Yes,23,23.33%,GBM,Pepper Canyon
HRI Winter GBM,1/8/2025,Price Center Red Shoe Room,Price Center Red Shoe Room,No,7,#VALUE!,GBM,Price Center
MTC Welcome-Back Social,1/8/2025,MPR,$565.35 ,Not Found,,100.00%,Social,Mandeville Auditorium
Winter GBM,1/8/2025,CSE1202,$774.52 ,Yes,32,58.68%,GBM,Warren
New Year Identity Collage,1/8/2025,Price Center ERC Room,$210.00 ,Yes,24,-14.29%,Social,Price Center
Winter Kickoff,1/8/2025,PC East Ballroom,"$1,038.23 ",Yes,240,-131.16%,GBM,Price Center
Bracelet Bash,1/9/2025,SME 248,$189.61 ,Yes,25,-31.85%,Social,Pepper Canyon
Rubik's Cube Club GBM,1/9/2025,Student Center: Dolores Huerta / Philip Vera Cruz Meeting Room,$273.47 ,Not Found,,100.00%,GBM,Mandeville Auditorium
ABSA Social,1/9/2025,Red Shoe Room,$398.88 ,Not Found,13,67.41%,Social,Price Center
GBM #1: Med App Escape Room,1/9/2025,Price Center - Bear Room,$323.84 ,Yes,22,32.07%,GBM,Price Center
Winter GBM,1/9/2025,Fung auditorium,$371.80 ,Yes,74,-99.03%,GBM,Warren
Dominoes Championship,1/9/2025,Price Center - Eleanor Roosevelt College Room,$500.00 ,No,20,60.00%,Competition,Price Center
IEEE Winter GBM,1/9/2025,Price Center East Ballroom,$600.00 ,Yes,46,23.33%,GBM,Price Center
Fall Projects Showcase,1/9/2025,Qualcomm Room,$259.57 ,Not Found,42,-61.81%,Recruitment,Warren
TSU Winter GBM,1/10/2025,Price Center Bear Room,$210.00 ,Yes,28,-33.33%,GBM,Price Center
IEEE Game Night,1/10/2025,"UCSD Game Room, Price Center",$210.65 ,Yes,16,24.04%,Social,Price Center
Cantonese Culture Club Social Night,1/10/2025,Price Center Forum,$149.54 ,Yes,25,-67.18%,Social,Price Center
TBP Winter General Body Meeting,1/10/2025,Qualcomm Conference Center,$386.30 ,Yes,23,40.46%,GBM,Warren
Triton Gaming Winter GBM,1/10/2025,Design and Innovation Building Room 208,$319.76 ,Yes,134,-319.06%,GBM,Pepper Canyon
GBM,1/12/2025,UCSD School of Medicine Campus MET Lower Auditorium,$912.32 ,No,,100.00%,GBM,Wong-Avery
Triton Business Society WI25 Recruitment,1/13/2025,Student Services Center Multi-Purpose Room,$120.00 ,No,,100.00%,Recruitment,Mandeville Auditorium
BSSA Winter GBM,1/13/2025,PC Theater,$333.13 ,Yes,118,-254.22%,GBM,Price Center
NETS Winter GBM,1/13/2025,SME 248,$344.80 ,Yes,35,-1.51%,GBM,Pepper Canyon
AI Winter Kickoff,1/13/2025,CSE Room 1202,$299.55 ,Not Found,60,-100.30%,GBM,Warren
Graphite Week 2 GBM,1/13/2025,Marshall College Room,$196.43 ,Yes,16,18.55%,GBM,Price Center
Winter GBM 1,1/14/2025,Price Center ERC Room,,No,19,#DIV/0!,GBM,Price Center
SASE GBM 1,1/14/2025,Qualcomm Conference Center,$510.74 ,Yes,25,51.05%,GBM,Warren
SWE Winter GBM #1,1/14/2025,Henry Booker Room,$537.94 ,Yes,42,21.92%,GBM,Warren
Rafael Montalvo,1/14/2025,The Forum,$393.29 ,No,37,5.92%,Speaker,Price Center
Triton Business Society WI25 Recruitment - Speed Dating Night,1/14/2025,Student Services Center Multi Purpose Room,$210.00 ,No,,100.00%,Recruitment,Mandeville Auditorium
UCSD Tour with Bay Park Elementary,1/14/2025,Warren Mall,$232.07 ,Yes,12,48.29%,Social,Warren
Winter GBM #1,1/14/2025,Price Center Marshall Room,$412.96 ,No,76,-84.04%,GBM,Price Center
Info Night - Semiconductor Industry Day,1/14/2025,SME 248,$182.50 ,No,42,-130.14%,GBM,Pepper Canyon
Info Night - Semiconductor Industry Day,1/14/2025,SME 248,$182.50 ,No,42,-130.14%,GBM,Pepper Canyon
BEI 2025 Winter Quarter GBM,1/15/2025,PC West Green Table Room,$216.58 ,Yes,43,-98.54%,GBM,Price Center
USC GBM,1/15/2025,Price Center ERC Room,$93.22 ,Yes,21,-125.27%,GBM,Price Center
Welcome Back! Winter Solstice Spectacular,1/15/2025,Price Center - Warren College Room,$279.00 ,No,,100.00%,GBM,Price Center
Winter Bash,1/15/2025,Bonner Hall 2130,$74.75 ,Not Found,,100.00%,GBM,Revelle
Winter W2 Project Committee,1/15/2025,EnVision,$300.00 ,Not Found,60,-100.00%,Recruitment,Pepper Canyon
Tech Dev Workshop 1,1/15/2025,B225,$347.49 ,Not Found,,100.00%,Workshop,Warren
CSSA Winter Quarter GBM,1/15/2025,Price Center – Ballroom | West B,$297.35 ,No,,100.00%,GBM,Price Center
Game Night,1/16/2025,ASML Room,$239.41 ,No,,100.00%,Social,Pepper Canyon
EWB Winter GBM,1/16/2025,Price Center Bear Room,$495.65 ,Yes,13,73.77%,GBM,Price Center
Scrapbooking,1/16/2025,Warren College Room,$400.00 ,Yes,28,30.00%,Workshop,Price Center
Tech Dev Workshop 2,1/16/2025,B225,$347.49 ,Not Found,14,59.71%,Workshop,Warren
Social Night,1/16/2025,UCSD PC Gameroom,$312.41 ,Not Found,23,26.38%,Social,Price Center
GBM #1 - Pitching for Showcase,1/17/2025,Price Center Green Table Room,$439.44 ,No,25,43.11%,GBM,Price Center
DVC Presents: WINTER 360,1/17/2025,The Stageroom,"$1,500.00 ",Yes,102,32.00%,Workshop,Mandeville Auditorium
TCP Kickoff,1/17/2025,Price Center Red Shoe Room & Bear Room,$438.37 ,Yes,98,-123.56%,GBM,Price Center
Careers in Life Sciences (CILS) Conference,1/17/2025,Kavli Auditorium,"$1,668.75 ",Yes,66,60.45%,GBM,Muir
Lab Expo 2025,1/17/2025,Price Center West Ballroom AB,"$1,606.89 ",Yes,192,-19.49%,Workshop,Price Center
Triton Droids GBM,1/17/2025,Price Center - Forum,$326.96 ,Yes,57,-74.33%,GBM,Price Center
You Wouldn't Hack A Game...,1/17/2025,EBU 1 Qualcomm Room,$193.95 ,Not Found,24,-23.74%,Workshop,Warren
Triton Minecraft Winter GBM,1/17/2025,ERC Room,$591.69 ,No,59,0.29%,GBM,Price Center
